City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,san policarpo,12.1791,125.5072,74.34,97,100,11.54,PH,1681172865
84,shatoy,42.8714,45.6886,48.94,81,97,4.54,RU,1681172865
85,ouadda,8.0777,22.4007,68.43,95,100,3.71,CF,1681172866
86,bonavista,48.6499,-53.1147,29.55,85,16,8.3,CA,1681172866
87,hofn,64.2539,-15.2082,39.85,88,100,12.95,IS,1681172866
88,taltal,-25.4,-70.4833,69.91,73,23,5.64,CL,1681172866
89,pahalgam,34.0333,75.3333,36.28,57,0,9.6,IN,1681172866
90,rundu,-17.9333,19.7667,65.37,74,92,2.86,NA,1681172866
91,ucluelet,48.9329,-125.5528,49.08,88,100,5.03,CA,1681172764
92,port blair,11.6667,92.75,80.76,77,54,2.08,IN,1681172867
93,lexington,37.9887,-84.4777,65.52,27,0,4.61,US,1681172673
94,ierapetra,35.01,25.7353,57.15,67,11,5.99,GR,1681172867
95,esperance,-33.8667,121.9,63.54,75,58,21.32,AU,1681172867
96,matagami,49.7502,-77.6328,44.71,61,0,0.0,CA,1681172867
97,west point,33.6076,-88.6503,79.09,36,0,6.91,US,1681172867
98,adrar,20.5022,-10.0711,75.72,33,100,14.88,MR,1681172867
99,hobart,-42.8794,147.3294,59.25,81,75,6.91,AU,1681172730
100,tuktoyaktuk,69.4541,-133.0374,17.6,73,100,9.22,CA,1681172868
101,caohai,26.8661,104.2841,52.95,81,52,7.14,CN,1681172868
102,bluff,-46.6,168.3333,52.81,96,100,16.26,NZ,1681172868
103,batsfjord,70.6345,29.7185,37.33,93,75,21.85,NO,1681172868
104,escondido,33.1192,-117.0864,85.21,68,100,10.36,US,1681172686
105,manokwari,-0.8667,134.0833,82.67,73,99,4.21,ID,1681172868
106,east london,-33.0153,27.9116,60.19,59,1,23.6,ZA,1681172868
107,road town,18.4167,-64.6167,78.89,73,20,6.91,VG,1681172623
108,lubango,-14.9172,13.4925,61.16,82,100,0.96,AO,1681172868
109,charters towers,-20.1,146.2667,82.4,28,6,5.23,AU,1681172868
110,gryazi,52.4966,39.9359,39.61,56,21,2.51,RU,1681172869
111,leh,34.1667,77.5833,14.72,57,0,2.33,IN,1681172869
112,cidreira,-30.1811,-50.2056,72.21,85,48,7.47,BR,1681172869
113,portland,45.5234,-122.6762,50.49,95,100,8.05,US,1681172628
114,wilkie,52.4168,-108.7014,43.18,73,72,0.67,CA,1681172869
115,severodvinsk,64.5635,39.8302,24.91,94,74,8.25,RU,1681172726
116,porto novo,6.4965,2.6036,84.02,80,95,8.1,BJ,1681172869
117,ygatimi,-24.0833,-55.5,71.02,87,56,3.53,PY,1681172869
118,whitehorse,60.7161,-135.0538,35.1,37,75,17.27,CA,1681172869
119,sisophon,13.5859,102.9737,82.17,75,70,9.51,KH,1681172869
120,puerto escondido,15.85,-97.0667,85.03,74,20,5.75,MX,1681172869
121,edelira,-26.75,-55.2667,73.42,62,68,2.86,PY,1681172870
122,tvedestrand,58.622,8.9315,41.94,91,100,20.0,NO,1681172870
123,kurchum,48.5722,83.6542,35.26,83,100,3.56,KZ,1681172870
124,fukue,32.6881,128.8419,66.56,77,75,11.5,JP,1681172637
125,nizhniy lomov,53.5304,43.6766,42.8,55,1,0.96,RU,1681172870
126,chokurdakh,70.6333,147.9167,-1.28,83,73,6.64,RU,1681172870
127,dingle,10.9995,122.6711,77.4,80,100,5.57,PH,1681172871
128,cervo,43.6702,-7.4101,51.96,89,100,7.45,ES,1681172871
129,moyale,3.5167,39.0584,69.55,71,98,4.81,KE,1681172871
130,pacifica,37.6138,-122.4869,72.73,86,75,20.71,US,1681172821
131,saint-joseph,-21.3667,55.6167,73.47,80,100,6.96,RE,1681172871
132,merauke,-8.4667,140.3333,83.79,71,99,1.61,ID,1681172708
133,pangnirtung,66.1451,-65.7125,5.79,71,1,7.83,CA,1681172871
134,walvis bay,-22.9575,14.5053,57.29,80,0,4.21,NA,1681172871
135,houlton,46.1262,-67.8403,54.01,30,0,5.75,US,1681172766
136,tete,-16.1564,33.5867,73.69,90,14,2.77,MZ,1681172871
137,aragats,40.4889,44.3528,36.97,97,100,2.75,AM,1681172871
138,te anau,-45.4167,167.7167,53.91,95,100,2.46,NZ,1681172872
139,kawalu,-7.3817,108.2082,73.83,89,82,1.19,ID,1681172872
140,kavaratti,10.5669,72.642,83.35,68,74,4.63,IN,1681172872
141,new norfolk,-42.7826,147.0587,58.91,86,100,0.96,AU,1681172872
142,omboue,-1.5746,9.2618,78.75,87,88,5.61,GA,1681172872
143,victoria,22.2855,114.1577,76.42,89,96,1.01,HK,1681172866
144,necochea,-38.5473,-58.7368,56.14,69,95,13.33,AR,1681172872
145,yellowknife,62.456,-114.3525,30.72,86,100,13.8,CA,1681172687
146,jamame,0.0722,42.7506,79.81,79,89,5.61,SO,1681172872
